facility_name,acq_date,observation_count,max_frp_mw,mean_frp_mw,total_frp_mw,source_class,classification_confidence,evidence_strength,worldcover_context,worldcover_class,association_type,association_confidence,osm_feature_name,osm_industrial,osm_landuse,behavior_state,behavior_score,frp_score,detection_score,frequency_score,previous_active_days,persistence_state,active_days,activity_frequency,median_gap_days,max_gap_days,max_consecutive_active_days,investigation_priority,evidence_summary,reason,decision_interpretation
Essar Power,2026-04-05,1,7.06,7.06,7.06,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Essar Power,,industrial,INSUFFICIENT_HISTORY,,,,,0,RECURRING,2,0.5,3.0,3.0,1,LOW,No strong mapped industrial association; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,Essar Power: insufficient historical observations for reliable behavioural assessment.
Essar Power,2026-04-08,1,1.01,1.01,1.01,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Essar Power,,industrial,INSUFFICIENT_HISTORY,,,,,1,RECURRING,2,0.5,3.0,3.0,1,LOW,Thermal point is 0.123 km from mapped industrial feature: Essar Power; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,Essar Power: insufficient historical observations for reliable behavioural assessment.
Lalpur,2026-03-14,1,20.71,20.71,20.71,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Lalpur,,,INSUFFICIENT_HISTORY,,,,,0,TRANSIENT,1,1.0,,,1,LOW,No strong mapped industrial association; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,Lalpur: insufficient historical observations for reliable behavioural assessment.
Modpar,2026-05-02,1,16.38,16.38,16.38,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Modpar,,,INSUFFICIENT_HISTORY,,,,,0,TRANSIENT,1,1.0,,,1,LOW,No strong mapped industrial association; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,Modpar: insufficient historical observations for reliable behavioural assessment.
Moti Rafudad,2026-03-18,1,3.64,3.64,3.64,OTHER,LOW,MEDIUM,OTHER,BARE_SPARSE_VEGETATION,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Moti Rafudad,,,INSUFFICIENT_HISTORY,,,,,0,INTERMITTENT,2,0.1429,13.0,13.0,1,LOW,No strong mapped industrial association; WorldCover=BARE_SPARSE_VEGETATION,thermal behaviour is within the site's previous historical range,Moti Rafudad: insufficient historical observations for reliable behavioural assessment.
Moti Rafudad,2026-03-31,1,18.98,18.98,18.98,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Moti Rafudad,,,INSUFFICIENT_HISTORY,,,,,1,INTERMITTENT,2,0.1429,13.0,13.0,1,LOW,No strong mapped industrial association; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,Moti Rafudad: insufficient historical observations for reliable behavioural assessment.
Pipli,2026-03-27,1,28.55,28.55,28.55,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Pipli,,,INSUFFICIENT_HISTORY,,,,,0,TRANSIENT,1,1.0,,,1,LOW,No strong mapped industrial association; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,Pipli: insufficient historical observations for reliable behavioural assessment.
Reliance Refinery,2026-03-04,1,3.88,3.88,3.88,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,INSUFFICIENT_HISTORY,,,,,0,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: insufficient historical observations for reliable behavioural assessment.
Reliance Refinery,2026-03-05,2,2.84,2.17,4.34,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,INSUFFICIENT_HISTORY,,,,,1,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: insufficient historical observations for reliable behavioural assessment.
Reliance Refinery,2026-03-09,1,3.22,3.22,3.22,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,INSUFFICIENT_HISTORY,,,,,2,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: insufficient historical observations for reliable behavioural assessment.
Reliance Refinery,2026-03-10,2,3.2,2.875,5.75,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,INSUFFICIENT_HISTORY,,,,,3,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: insufficient historical observations for reliable behavioural assessment.
Reliance Refinery,2026-03-11,1,2.06,2.06,2.06,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,INSUFFICIENT_HISTORY,,,,,4,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: insufficient historical observations for reliable behavioural assessment.
